"","Location","TimeFrame","DataFormat.x","Child","DataFormat.y","Unemployment"
"75","Atascosa",2009,"Percent",0.288,"Percent",0.074
"76","Atascosa",2010,"Percent",0.305,"Percent",0.079
"77","Atascosa",2011,"Percent",0.322,"Percent",0.079
"78","Austin",2001,"Percent",0.158,"Percent",0.028
"79","Austin",2002,"Percent",0.133,"Percent",0.037
"80","Austin",2003,"Percent",0.15,"Percent",0.048
"81","Austin",2004,"Percent",0.154,"Percent",0.054
"82","Austin",2005,"Percent",0.163,"Percent",0.045
"83","Austin",2006,"Percent",0.16,"Percent",0.042
"84","Austin",2007,"Percent",0.15,"Percent",0.038
"85","Austin",2008,"Percent",0.149,"Percent",0.043
"86","Austin",2009,"Percent",0.162,"Percent",0.074
"87","Austin",2010,"Percent",0.183,"Percent",0.08
"88","Austin",2011,"Percent",0.202,"Percent",0.082
"89","Bailey",2001,"Percent",0.285,"Percent",0.051
"90","Bailey",2002,"Percent",0.263,"Percent",0.054
"91","Bailey",2003,"Percent",0.273,"Percent",0.055
"92","Bailey",2004,"Percent",0.257,"Percent",0.056
"93","Bailey",2005,"Percent",0.296,"Percent",0.055
"94","Bailey",2006,"Percent",0.304,"Percent",0.052
"95","Bailey",2007,"Percent",0.304,"Percent",0.045
"96","Bailey",2008,"Percent",0.273,"Percent",0.042
"97","Bailey",2009,"Percent",0.28,"Percent",0.056
"98","Bailey",2010,"Percent",0.302,"Percent",0.071
"99","Bailey",2011,"Percent",0.283,"Percent",0.073
"100","Bandera",2001,"Percent",0.195,"Percent",0.027
"101","Bandera",2002,"Percent",0.194,"Percent",0.035
"102","Bandera",2003,"Percent",0.2,"Percent",0.039
"103","Bandera",2004,"Percent",0.191,"Percent",0.049
"104","Bandera",2005,"Percent",0.203,"Percent",0.042
"105","Bandera",2006,"Percent",0.218,"Percent",0.042
"106","Bandera",2007,"Percent",0.225,"Percent",0.038
"107","Bandera",2008,"Percent",0.226,"Percent",0.044
"108","Bandera",2009,"Percent",0.23,"Percent",0.065
"109","Bandera",2010,"Percent",0.273,"Percent",0.071
"110","Bandera",2011,"Percent",0.244,"Percent",0.068
"111","Bastrop",2001,"Percent",0.163,"Percent",0.04
"112","Bastrop",2002,"Percent",0.159,"Percent",0.058
"113","Bastrop",2003,"Percent",0.179,"Percent",0.065
"114","Bastrop",2004,"Percent",0.184,"Percent",0.056
"115","Bastrop",2005,"Percent",0.178,"Percent",0.046
"116","Bastrop",2006,"Percent",0.183,"Percent",0.046
"117","Bastrop",2007,"Percent",0.18,"Percent",0.041
"118","Bastrop",2008,"Percent",0.189,"Percent",0.049
"119","Bastrop",2009,"Percent",0.218,"Percent",0.078
"120","Bastrop",2010,"Percent",0.244,"Percent",0.084
"121","Bastrop",2011,"Percent",0.226,"Percent",0.078
"122","Baylor",2001,"Percent",0.265,"Percent",0.042
"123","Baylor",2002,"Percent",0.243,"Percent",0.053
"124","Baylor",2003,"Percent",0.258,"Percent",0.053
"125","Baylor",2004,"Percent",0.265,"Percent",0.053
"126","Baylor",2005,"Percent",0.31,"Percent",0.048
"127","Baylor",2006,"Percent",0.296,"Percent",0.043
"128","Baylor",2007,"Percent",0.293,"Percent",0.038
"129","Baylor",2008,"Percent",0.267,"Percent",0.038
"130","Baylor",2009,"Percent",0.302,"Percent",0.058
"131","Baylor",2010,"Percent",0.319,"Percent",0.066
"132","Baylor",2011,"Percent",0.32,"Percent",0.058
"133","Bee",2001,"Percent",0.309,"Percent",0.05
"134","Bee",2002,"Percent",0.282,"Percent",0.057
"135","Bee",2003,"Percent",0.293,"Percent",0.07
"136","Bee",2004,"Percent",0.29,"Percent",0.079
"137","Bee",2005,"Percent",0.346,"Percent",0.071
"138","Bee",2006,"Percent",0.337,"Percent",0.064
"139","Bee",2007,"Percent",0.294,"Percent",0.06
"140","Bee",2008,"Percent",0.319,"Percent",0.063
"141","Bee",2009,"Percent",0.322,"Percent",0.093
"142","Bee",2010,"Percent",0.346,"Percent",0.091
"143","Bee",2011,"Percent",0.363,"Percent",0.086
"144","Bell",2001,"Percent",0.185,"Percent",0.042
"145","Bell",2002,"Percent",0.182,"Percent",0.052
"146","Bell",2003,"Percent",0.212,"Percent",0.055
"147","Bell",2004,"Percent",0.175,"Percent",0.056
"148","Bell",2005,"Percent",0.19,"Percent",0.051
"149","Bell",2006,"Percent",0.194,"Percent",0.051
"150","Bell",2007,"Percent",0.196,"Percent",0.045
"151","Bell",2008,"Percent",0.192,"Percent",0.049
"152","Bell",2009,"Percent",0.207,"Percent",0.067
"153","Bell",2010,"Percent",0.202,"Percent",0.075
"154","Bell",2011,"Percent",0.233,"Percent",0.08
"155","Bexar",2001,"Percent",0.235,"Percent",0.041
"156","Bexar",2002,"Percent",0.242,"Percent",0.053
"157","Bexar",2003,"Percent",0.253,"Percent",0.057
"158","Bexar",2004,"Percent",0.247,"Percent",0.058
"159","Bexar",2005,"Percent",0.242,"Percent",0.05
"160","Bexar",2006,"Percent",0.241,"Percent",0.047
"161","Bexar",2007,"Percent",0.231,"Percent",0.042
"162","Bexar",2008,"Percent",0.235,"Percent",0.047
"163","Bexar",2009,"Percent",0.251,"Percent",0.068
"164","Bexar",2010,"Percent",0.246,"Percent",0.074
"165","Bexar",2011,"Percent",0.256,"Percent",0.076
"166","Blanco",2001,"Percent",0.173,"Percent",0.027
"167","Blanco",2002,"Percent",0.135,"Percent",0.039
"168","Blanco",2003,"Percent",0.146,"Percent",0.038
"169","Blanco",2004,"Percent",0.15,"Percent",0.043
"170","Blanco",2005,"Percent",0.164,"Percent",0.038
"171","Blanco",2006,"Percent",0.179,"Percent",0.04
"172","Blanco",2007,"Percent",0.17,"Percent",0.034
"173","Blanco",2008,"Percent",0.171,"Percent",0.038
"174","Blanco",2009,"Percent",0.2,"Percent",0.051
"175","Blanco",2010,"Percent",0.2,"Percent",0.059
"176","Blanco",2011,"Percent",0.211,"Percent",0.061
"177","Borden",2001,"Percent",0.096,"Percent",0.02
"178","Borden",2002,"Percent",0.133,"Percent",0.023
"179","Borden",2003,"Percent",0.082,"Percent",0.039
"180","Borden",2004,"Percent",0.084,"Percent",0.037
"181","Borden",2005,"Percent",0.1,"Percent",0.038
"182","Borden",2006,"Percent",0.108,"Percent",0.043
"183","Borden",2007,"Percent",0.09,"Percent",0.045
"184","Borden",2008,"Percent",0.114,"Percent",0.032
"185","Borden",2009,"Percent",0.15,"Percent",0.057
"186","Borden",2010,"Percent",0.155,"Percent",0.05
"187","Borden",2011,"Percent",0.164,"Percent",0.039
"188","Bosque",2001,"Percent",0.223,"Percent",0.044
"189","Bosque",2002,"Percent",0.212,"Percent",0.057
"190","Bosque",2003,"Percent",0.223,"Percent",0.061
"191","Bosque",2004,"Percent",0.206,"Percent",0.056
"192","Bosque",2005,"Percent",0.236,"Percent",0.048
"193","Bosque",2006,"Percent",0.238,"Percent",0.05
"194","Bosque",2007,"Percent",0.248,"Percent",0.044
"195","Bosque",2008,"Percent",0.212,"Percent",0.047
"196","Bosque",2009,"Percent",0.225,"Percent",0.079
"197","Bosque",2010,"Percent",0.274,"Percent",0.087
"198","Bosque",2011,"Percent",0.261,"Percent",0.085
"199","Bowie",2001,"Percent",0.246,"Percent",0.046
"200","Bowie",2002,"Percent",0.24,"Percent",0.055
"201","Bowie",2003,"Percent",0.249,"Percent",0.058
"202","Bowie",2004,"Percent",0.24,"Percent",0.062
"203","Bowie",2005,"Percent",0.259,"Percent",0.054
"204","Bowie",2006,"Percent",0.245,"Percent",0.054
"205","Bowie",2007,"Percent",0.237,"Percent",0.049
"206","Bowie",2008,"Percent",0.26,"Percent",0.051
"207","Bowie",2009,"Percent",0.277,"Percent",0.067
"208","Bowie",2010,"Percent",0.278,"Percent",0.083
"209","Bowie",2011,"Percent",0.28,"Percent",0.077
"210","Brazoria",2001,"Percent",0.14,"Percent",0.059
"211","Brazoria",2002,"Percent",0.135,"Percent",0.074
"212","Brazoria",2003,"Percent",0.151,"Percent",0.089
"213","Brazoria",2004,"Percent",0.144,"Percent",0.07
"214","Brazoria",2005,"Percent",0.159,"Percent",0.056
"215","Brazoria",2006,"Percent",0.159,"Percent",0.049
"216","Brazoria",2007,"Percent",0.126,"Percent",0.044
"217","Brazoria",2008,"Percent",0.125,"Percent",0.052
"218","Brazoria",2009,"Percent",0.139,"Percent",0.081
"219","Brazoria",2010,"Percent",0.153,"Percent",0.09
"220","Brazoria",2011,"Percent",0.169,"Percent",0.086
"221","Brazos",2001,"Percent",0.194,"Percent",0.016
"222","Brazos",2002,"Percent",0.191,"Percent",0.019
"223","Brazos",2003,"Percent",0.209,"Percent",0.023
"224","Brazos",2004,"Percent",0.213,"Percent",0.043
"225","Brazos",2005,"Percent",0.246,"Percent",0.039
"226","Brazos",2006,"Percent",0.229,"Percent",0.04
"227","Brazos",2007,"Percent",0.224,"Percent",0.036
"228","Brazos",2008,"Percent",0.216,"Percent",0.039
"229","Brazos",2009,"Percent",0.237,"Percent",0.054
"230","Brazos",2010,"Percent",0.26,"Percent",0.061
"231","Brazos",2011,"Percent",0.242,"Percent",0.064
"232","Brewster",2001,"Percent",0.252,"Percent",0.022
"233","Brewster",2002,"Percent",0.246,"Percent",0.027
"234","Brewster",2003,"Percent",0.251,"Percent",0.024
"235","Brewster",2004,"Percent",0.237,"Percent",0.042
"236","Brewster",2005,"Percent",0.275,"Percent",0.036
"237","Brewster",2006,"Percent",0.254,"Percent",0.034
"238","Brewster",2007,"Percent",0.227,"Percent",0.032
"239","Brewster",2008,"Percent",0.249,"Percent",0.037
"240","Brewster",2009,"Percent",0.218,"Percent",0.049
"241","Brewster",2010,"Percent",0.233,"Percent",0.055
"242","Brewster",2011,"Percent",0.235,"Percent",0.053
"243","Briscoe",2001,"Percent",0.333,"Percent",0.027
"244","Briscoe",2002,"Percent",0.24,"Percent",0.035
"245","Briscoe",2003,"Percent",0.246,"Percent",0.048
"246","Briscoe",2004,"Percent",0.235,"Percent",0.061
"247","Briscoe",2005,"Percent",0.327,"Percent",0.056
"248","Briscoe",2006,"Percent",0.273,"Percent",0.05
"249","Briscoe",2007,"Percent",0.257,"Percent",0.043
"250","Briscoe",2008,"Percent",0.297,"Percent",0.042
"251","Briscoe",2009,"Percent",0.249,"Percent",0.056
"252","Briscoe",2010,"Percent",0.286,"Percent",0.059
"253","Briscoe",2011,"Percent",0.274,"Percent",0.068
"254","Brooks",2001,"Percent",0.423,"Percent",0.057
"255","Brooks",2002,"Percent",0.412,"Percent",0.075
"256","Brooks",2003,"Percent",0.41,"Percent",0.084
"257","Brooks",2004,"Percent",0.396,"Percent",0.079
"258","Brooks",2005,"Percent",0.493,"Percent",0.07
"259","Brooks",2006,"Percent",0.477,"Percent",0.063
"260","Brooks",2007,"Percent",0.467,"Percent",0.055
"261","Brooks",2008,"Percent",0.452,"Percent",0.054
"262","Brooks",2009,"Percent",0.468,"Percent",0.095
"263","Brooks",2010,"Percent",0.495,"Percent",0.099
"264","Brooks",2011,"Percent",0.481,"Percent",0.089
"265","Brown",2001,"Percent",0.251,"Percent",0.037
"266","Brown",2002,"Percent",0.251,"Percent",0.049
"267","Brown",2003,"Percent",0.271,"Percent",0.045
"268","Brown",2004,"Percent",0.263,"Percent",0.055
"269","Brown",2005,"Percent",0.292,"Percent",0.046
"270","Brown",2006,"Percent",0.274,"Percent",0.045
"271","Brown",2007,"Percent",0.268,"Percent",0.042
"272","Brown",2008,"Percent",0.261,"Percent",0.045
"273","Brown",2009,"Percent",0.27,"Percent",0.069
"274","Brown",2010,"Percent",0.285,"Percent",0.073
"275","Brown",2011,"Percent",0.307,"Percent",0.072
"276","Burleson",2001,"Percent",0.21,"Percent",0.029
"277","Burleson",2002,"Percent",0.204,"Percent",0.044
"278","Burleson",2003,"Percent",0.222,"Percent",0.054
"279","Burleson",2004,"Percent",0.215,"Percent",0.055
"280","Burleson",2005,"Percent",0.259,"Percent",0.04
"281","Burleson",2006,"Percent",0.248,"Percent",0.041
"282","Burleson",2007,"Percent",0.229,"Percent",0.038
"283","Burleson",2008,"Percent",0.22,"Percent",0.044
"284","Burleson",2009,"Percent",0.225,"Percent",0.068
"285","Burleson",2010,"Percent",0.249,"Percent",0.069
"286","Burleson",2011,"Percent",0.262,"Percent",0.068
"287","Burnet",2001,"Percent",0.199,"Percent",0.037
"288","Burnet",2002,"Percent",0.189,"Percent",0.047
"289","Burnet",2003,"Percent",0.192,"Percent",0.05
"290","Burnet",2004,"Percent",0.188,"Percent",0.046
"291","Burnet",2005,"Percent",0.2,"Percent",0.038
"292","Burnet",2006,"Percent",0.213,"Percent",0.041
"293","Burnet",2007,"Percent",0.178,"Percent",0.035
"294","Burnet",2008,"Percent",0.196,"Percent",0.04
"295","Burnet",2009,"Percent",0.221,"Percent",0.061
"296","Burnet",2010,"Percent",0.244,"Percent",0.065
"297","Burnet",2011,"Percent",0.267,"Percent",0.062
"298","Caldwell",2001,"Percent",0.191,"Percent",0.042
"299","Caldwell",2002,"Percent",0.201,"Percent",0.066
"300","Caldwell",2003,"Percent",0.209,"Percent",0.075
"301","Caldwell",2004,"Percent",0.205,"Percent",0.063
"302","Caldwell",2005,"Percent",0.264,"Percent",0.049
"303","Caldwell",2006,"Percent",0.212,"Percent",0.049
"304","Caldwell",2007,"Percent",0.26,"Percent",0.043
"305","Caldwell",2008,"Percent",0.201,"Percent",0.052
"306","Caldwell",2009,"Percent",0.244,"Percent",0.083
"307","Caldwell",2010,"Percent",0.257,"Percent",0.086
"308","Caldwell",2011,"Percent",0.268,"Percent",0.085
"309","Calhoun",2001,"Percent",0.229,"Percent",0.079
"310","Calhoun",2002,"Percent",0.216,"Percent",0.097
"311","Calhoun",2003,"Percent",0.231,"Percent",0.084
"312","Calhoun",2004,"Percent",0.238,"Percent",0.075
"313","Calhoun",2005,"Percent",0.255,"Percent",0.06
"314","Calhoun",2006,"Percent",0.263,"Percent",0.049
"315","Calhoun",2007,"Percent",0.232,"Percent",0.045
"316","Calhoun",2008,"Percent",0.239,"Percent",0.049
"317","Calhoun",2009,"Percent",0.247,"Percent",0.086
"318","Calhoun",2010,"Percent",0.307,"Percent",0.09
"319","Calhoun",2011,"Percent",0.269,"Percent",0.091
"320","Callahan",2001,"Percent",0.218,"Percent",0.037
"321","Callahan",2002,"Percent",0.207,"Percent",0.04
"322","Callahan",2003,"Percent",0.221,"Percent",0.046
"323","Callahan",2004,"Percent",0.206,"Percent",0.047
"324","Callahan",2005,"Percent",0.211,"Percent",0.039
"325","Callahan",2006,"Percent",0.222,"Percent",0.04
"326","Callahan",2007,"Percent",0.214,"Percent",0.035
"327","Callahan",2008,"Percent",0.244,"Percent",0.037
"328","Callahan",2009,"Percent",0.227,"Percent",0.059
"329","Callahan",2010,"Percent",0.249,"Percent",0.06
"330","Callahan",2011,"Percent",0.255,"Percent",0.062
"331","Cameron",2001,"Percent",0.414,"Percent",0.092
"332","Cameron",2002,"Percent",0.414,"Percent",0.104
"333","Cameron",2003,"Percent",0.409,"Percent",0.11
"334","Cameron",2004,"Percent",0.404,"Percent",0.088
"335","Cameron",2005,"Percent",0.523,"Percent",0.075
"336","Cameron",2006,"Percent",0.468,"Percent",0.066
"337","Cameron",2007,"Percent",0.458,"Percent",0.06
"338","Cameron",2008,"Percent",0.441,"Percent",0.068
"339","Cameron",2009,"Percent",0.451,"Percent",0.099
"340","Cameron",2010,"Percent",0.485,"Percent",0.112
"341","Cameron",2011,"Percent",0.467,"Percent",0.118
"342","Camp",2001,"Percent",0.278,"Percent",0.052
"343","Camp",2002,"Percent",0.257,"Percent",0.064
"344","Camp",2003,"Percent",0.275,"Percent",0.07
"345","Camp",2004,"Percent",0.247,"Percent",0.057
"346","Camp",2005,"Percent",0.283,"Percent",0.057
"347","Camp",2006,"Percent",0.336,"Percent",0.051
"348","Camp",2007,"Percent",0.278,"Percent",0.046
"349","Camp",2008,"Percent",0.263,"Percent",0.05
"350","Camp",2009,"Percent",0.309,"Percent",0.089
"351","Camp",2010,"Percent",0.337,"Percent",0.088
"352","Camp",2011,"Percent",0.357,"Percent",0.088
"353","Carson",2001,"Percent",0.122,"Percent",0.028
"354","Carson",2002,"Percent",0.106,"Percent",0.039
"355","Carson",2003,"Percent",0.126,"Percent",0.036
"356","Carson",2004,"Percent",0.112,"Percent",0.042
"357","Carson",2005,"Percent",0.123,"Percent",0.039
"358","Carson",2006,"Percent",0.13,"Percent",0.036
"359","Carson",2007,"Percent",0.121,"Percent",0.032
"360","Carson",2008,"Percent",0.123,"Percent",0.034
"361","Carson",2009,"Percent",0.126,"Percent",0.059
"362","Carson",2010,"Percent",0.106,"Percent",0.052
"363","Carson",2011,"Percent",0.125,"Percent",0.05
"364","Cass",2001,"Percent",0.257,"Percent",0.06
"365","Cass",2002,"Percent",0.245,"Percent",0.074
"366","Cass",2003,"Percent",0.249,"Percent",0.073
"367","Cass",2004,"Percent",0.244,"Percent",0.072
"368","Cass",2005,"Percent",0.282,"Percent",0.062
"369","Cass",2006,"Percent",0.269,"Percent",0.06
"370","Cass",2007,"Percent",0.278,"Percent",0.055
"371","Cass",2008,"Percent",0.259,"Percent",0.062
"372","Cass",2009,"Percent",0.283,"Percent",0.115
"373","Cass",2010,"Percent",0.324,"Percent",0.11
"374","Cass",2011,"Percent",0.26,"Percent",0.106
"375","Castro",2001,"Percent",0.29,"Percent",0.041
"376","Castro",2002,"Percent",0.301,"Percent",0.044
"377","Castro",2003,"Percent",0.29,"Percent",0.052
"378","Castro",2004,"Percent",0.278,"Percent",0.055
"379","Castro",2005,"Percent",0.331,"Percent",0.06
"380","Castro",2006,"Percent",0.323,"Percent",0.05
"381","Castro",2007,"Percent",0.304,"Percent",0.039
"382","Castro",2008,"Percent",0.314,"Percent",0.037
"383","Castro",2009,"Percent",0.308,"Percent",0.05
"384","Castro",2010,"Percent",0.299,"Percent",0.056
"385","Castro",2011,"Percent",0.311,"Percent",0.057
"386","Chambers",2001,"Percent",0.152,"Percent",0.045
"387","Chambers",2002,"Percent",0.136,"Percent",0.048
"388","Chambers",2003,"Percent",0.149,"Percent",0.062
"389","Chambers",2004,"Percent",0.152,"Percent",0.059
"390","Chambers",2005,"Percent",0.159,"Percent",0.06
"391","Chambers",2006,"Percent",0.156,"Percent",0.051
"392","Chambers",2007,"Percent",0.122,"Percent",0.046
"393","Chambers",2008,"Percent",0.128,"Percent",0.058
"394","Chambers",2009,"Percent",0.122,"Percent",0.094
"395","Chambers",2010,"Percent",0.142,"Percent",0.099
"396","Chambers",2011,"Percent",0.137,"Percent",0.089
"397","Cherokee",2001,"Percent",0.272,"Percent",0.043
"398","Cherokee",2002,"Percent",0.258,"Percent",0.048
"399","Cherokee",2003,"Percent",0.261,"Percent",0.045
"400","Cherokee",2004,"Percent",0.253,"Percent",0.056
"401","Cherokee",2005,"Percent",0.271,"Percent",0.055
"402","Cherokee",2006,"Percent",0.267,"Percent",0.054
"403","Cherokee",2007,"Percent",0.276,"Percent",0.049
"404","Cherokee",2008,"Percent",0.295,"Percent",0.06
"405","Cherokee",2009,"Percent",0.328,"Percent",0.09
"406","Cherokee",2010,"Percent",0.354,"Percent",0.091
"407","Cherokee",2011,"Percent",0.322,"Percent",0.089
"408","Childress",2001,"Percent",0.265,"Percent",0.029
"409","Childress",2002,"Percent",0.262,"Percent",0.037
"410","Childress",2003,"Percent",0.279,"Percent",0.034
"411","Childress",2004,"Percent",0.293,"Percent",0.057
"412","Childress",2005,"Percent",0.363,"Percent",0.054
"413","Childress",2006,"Percent",0.342,"Percent",0.058
"414","Childress",2007,"Percent",0.322,"Percent",0.05
"415","Childress",2008,"Percent",0.319,"Percent",0.051
"416","Childress",2009,"Percent",0.322,"Percent",0.06
"417","Childress",2010,"Percent",0.328,"Percent",0.071
"418","Childress",2011,"Percent",0.324,"Percent",0.061
"419","Clay",2001,"Percent",0.139,"Percent",0.024
"420","Clay",2002,"Percent",0.147,"Percent",0.041
"421","Clay",2003,"Percent",0.158,"Percent",0.038
"422","Clay",2004,"Percent",0.15,"Percent",0.04
"423","Clay",2005,"Percent",0.153,"Percent",0.037
"424","Clay",2006,"Percent",0.165,"Percent",0.039
"425","Clay",2007,"Percent",0.163,"Percent",0.035
"426","Clay",2008,"Percent",0.154,"Percent",0.04
"427","Clay",2009,"Percent",0.159,"Percent",0.07
"428","Clay",2010,"Percent",0.183,"Percent",0.066
"429","Clay",2011,"Percent",0.176,"Percent",0.061
"430","Cochran",2001,"Percent",0.384,"Percent",0.065
"431","Cochran",2002,"Percent",0.315,"Percent",0.077
"432","Cochran",2003,"Percent",0.347,"Percent",0.104
"433","Cochran",2004,"Percent",0.331,"Percent",0.073
"434","Cochran",2005,"Percent",0.404,"Percent",0.062
"435","Cochran",2006,"Percent",0.46,"Percent",0.06
"436","Cochran",2007,"Percent",0.383,"Percent",0.05
"437","Cochran",2008,"Percent",0.342,"Percent",0.048
"438","Cochran",2009,"Percent",0.348,"Percent",0.067
"439","Cochran",2010,"Percent",0.338,"Percent",0.082
"440","Cochran",2011,"Percent",0.333,"Percent",0.09
"441","Coke",2001,"Percent",0.195,"Percent",0.019
"442","Coke",2002,"Percent",0.199,"Percent",0.026
"443","Coke",2003,"Percent",0.235,"Percent",0.024
"444","Coke",2004,"Percent",0.195,"Percent",0.055
"445","Coke",2005,"Percent",0.236,"Percent",0.049
"446","Coke",2006,"Percent",0.255,"Percent",0.057
"447","Coke",2007,"Percent",0.226,"Percent",0.058
"448","Coke",2008,"Percent",0.222,"Percent",0.077
"449","Coke",2009,"Percent",0.288,"Percent",0.084
"450","Coke",2010,"Percent",0.224,"Percent",0.079
"451","Coke",2011,"Percent",0.206,"Percent",0.07
"452","Coleman",2001,"Percent",0.3,"Percent",0.048
"453","Coleman",2002,"Percent",0.298,"Percent",0.075
"454","Coleman",2003,"Percent",0.32,"Percent",0.071
"455","Coleman",2004,"Percent",0.297,"Percent",0.057
"456","Coleman",2005,"Percent",0.357,"Percent",0.046
"457","Coleman",2006,"Percent",0.331,"Percent",0.044
"458","Coleman",2007,"Percent",0.326,"Percent",0.037
"459","Coleman",2008,"Percent",0.331,"Percent",0.04
"460","Coleman",2009,"Percent",0.363,"Percent",0.07
"461","Coleman",2010,"Percent",0.36,"Percent",0.069
"462","Coleman",2011,"Percent",0.386,"Percent",0.071
"463","Collin",2001,"Percent",0.058,"Percent",0.041
"464","Collin",2002,"Percent",0.055,"Percent",0.064
"465","Collin",2003,"Percent",0.067,"Percent",0.062
"466","Collin",2004,"Percent",0.062,"Percent",0.048
"467","Collin",2005,"Percent",0.072,"Percent",0.042
"468","Collin",2006,"Percent",0.065,"Percent",0.043
"469","Collin",2007,"Percent",0.076,"Percent",0.039
"470","Collin",2008,"Percent",0.08,"Percent",0.046
"471","Collin",2009,"Percent",0.082,"Percent",0.073
"472","Collin",2010,"Percent",0.096,"Percent",0.075
"473","Collin",2011,"Percent",0.099,"Percent",0.07
"474","Collingsworth",2001,"Percent",0.285,"Percent",0.011
"475","Collingsworth",2002,"Percent",0.286,"Percent",0.026
"476","Collingsworth",2003,"Percent",0.292,"Percent",0.038
"477","Collingsworth",2004,"Percent",0.277,"Percent",0.051
"478","Collingsworth",2005,"Percent",0.344,"Percent",0.046
"479","Collingsworth",2006,"Percent",0.337,"Percent",0.044
"480","Collingsworth",2007,"Percent",0.316,"Percent",0.034
"481","Collingsworth",2008,"Percent",0.341,"Percent",0.039
