Location,TimeFrame,DataFormat,Data
Edwards,2011,Number,411
El Paso,2000,Number,217423
El Paso,2011,Number,242792
Ellis,2000,Number,33644
Ellis,2011,Number,43490
Erath,2000,Number,8112
Erath,2011,Number,8589
Falls,2000,Number,5136
Falls,2011,Number,3820
Fannin,2000,Number,7250
Fannin,2011,Number,7498
Fayette,2000,Number,5057
Fayette,2011,Number,5480
Fisher,2000,Number,1040
Fisher,2011,Number,848
Floyd,2000,Number,2439
Floyd,2011,Number,1817
Foard,2000,Number,419
Foard,2011,Number,272
Fort Bend,2000,Number,113472
Fort Bend,2011,Number,177450
Franklin,2000,Number,2299
Franklin,2011,Number,2591
Freestone,2000,Number,4222
Freestone,2011,Number,4633
Frio,2000,Number,4660
Frio,2011,Number,4237
Gaines,2000,Number,5065
Gaines,2011,Number,6207
Galveston,2000,Number,66869
Galveston,2011,Number,74697
Garza,2000,Number,1366
Garza,2011,Number,1269
Gillespie,2000,Number,4487
Gillespie,2011,Number,5043
Glasscock,2000,Number,471
Glasscock,2011,Number,338
Goliad,2000,Number,1793
Goliad,2011,Number,1605
Gonzales,2000,Number,5207
Gonzales,2011,Number,5414
Gray,2000,Number,5462
Gray,2011,Number,5655
Grayson,2000,Number,27975
Grayson,2011,Number,29059
Gregg,2000,Number,29791
Gregg,2011,Number,31279
Grimes,2000,Number,5837
Grimes,2011,Number,6060
Guadalupe,2000,Number,25330
Guadalupe,2011,Number,37092
Hale,2000,Number,11070
Hale,2011,Number,10537
Hall,2000,Number,1029
Hall,2011,Number,864
Hamilton,2000,Number,1959
Hamilton,2011,Number,1813
Hansford,2000,Number,1574
Hansford,2011,Number,1660
Hardeman,2000,Number,1198
Hardeman,2011,Number,995
Hardin,2000,Number,13358
Hardin,2011,Number,14167
Harris,2000,Number,984556
Harris,2011,Number,1160048
Harrison,2000,Number,16669
Harrison,2011,Number,17130
Hartley,2000,Number,1152
Hartley,2011,Number,1337
Haskell,2000,Number,1447
Haskell,2011,Number,1211
Hays,2000,Number,23906
Hays,2011,Number,40183
Hemphill,2000,Number,939
Hemphill,2011,Number,1122
Henderson,2000,Number,17851
Henderson,2011,Number,17920
Hidalgo,2000,Number,201002
Hidalgo,2011,Number,272381
Hill,2000,Number,8360
Hill,2011,Number,8603
Hockley,2000,Number,6618
Hockley,2011,Number,6162
Hood,2000,Number,9693
Hood,2011,Number,10928
Hopkins,2000,Number,8355
Hopkins,2011,Number,9026
Houston,2000,Number,5378
Houston,2011,Number,4817
Howard,2000,Number,8139
Howard,2011,Number,7764
Hudspeth,2000,Number,1141
Hudspeth,2011,Number,1007
Hunt,2000,Number,20328
Hunt,2011,Number,21626
Hutchinson,2000,Number,6547
Hutchinson,2011,Number,5805
Irion,2000,Number,473
Irion,2011,Number,357
Jack,2000,Number,2051
Jack,2011,Number,1965
Jackson,2000,Number,3943
Jackson,2011,Number,3551
Jasper,2000,Number,9439
Jasper,2011,Number,8842
Jeff Davis,2000,Number,539
Jeff Davis,2011,Number,414
Jefferson,2000,Number,65324
Jefferson,2011,Number,60391
Jim Hogg,2000,Number,1668
Jim Hogg,2011,Number,1505
Jim Wells,2000,Number,12351
Jim Wells,2011,Number,11933
Johnson,2000,Number,36517
Johnson,2011,Number,41298
Jones,2000,Number,4674
Jones,2011,Number,3714
Karnes,2000,Number,3365
Karnes,2011,Number,2946
Kaufman,2000,Number,20827
Kaufman,2011,Number,29869
Kendall,2000,Number,6466
Kendall,2011,Number,8187
Kenedy,2000,Number,121
Kenedy,2011,Number,97
Kent,2000,Number,177
Kent,2011,Number,180
Kerr,2000,Number,9893
Kerr,2011,Number,9935
Kimble,2000,Number,1056
Kimble,2011,Number,923
King,2000,Number,120
King,2011,Number,63
Kinney,2000,Number,868
Kinney,2011,Number,708
Kleberg,2000,Number,8600
Kleberg,2011,Number,8172
Knox,2000,Number,1180
Knox,2011,Number,913
La Salle,2000,Number,1723
La Salle,2011,Number,1504
Lamar,2000,Number,12668
Lamar,2011,Number,12123
Lamb,2000,Number,4356
Lamb,2011,Number,4073
Lampasas,2000,Number,4898
Lampasas,2011,Number,4853
Lavaca,2000,Number,4648
Lavaca,2011,Number,4446
Lee,2000,Number,4509
Lee,2011,Number,4179
Leon,2000,Number,3725
Leon,2011,Number,3776
Liberty,2000,Number,19377
Liberty,2011,Number,19230
Limestone,2000,Number,5600
Limestone,2011,Number,5543
Lipscomb,2000,Number,843
Lipscomb,2011,Number,893
Live Oak,2000,Number,2739
Live Oak,2011,Number,2327
Llano,2000,Number,2711
Llano,2011,Number,3098
Loving,2000,Number,13
Loving,2011,Number,9
Lubbock,2000,Number,62261
Lubbock,2011,Number,69297
Lynn,2000,Number,2044
Lynn,2011,Number,1597
Madison,2000,Number,2733
Madison,2011,Number,2974
Marion,2000,Number,2445
Marion,2011,Number,1973
Martin,2000,Number,1610
Martin,2011,Number,1412
Mason,2000,Number,836
Mason,2011,Number,844
Matagorda,2000,Number,11382
Matagorda,2011,Number,9509
Maverick,2000,Number,17459
Maverick,2011,Number,18269
McCulloch,2000,Number,2186
McCulloch,2011,Number,2013
McLennan,2000,Number,56830
McLennan,2011,Number,60398
McMullen,2000,Number,199
McMullen,2011,Number,139
Medina,2000,Number,11379
Medina,2011,Number,11707
Menard,2000,Number,572
Menard,2011,Number,434
Midland,2000,Number,35034
Midland,2011,Number,38287
Milam,2000,Number,6656
Milam,2011,Number,6461
Mills,2000,Number,1316
Mills,2011,Number,1172
Mitchell,2000,Number,1921
Mitchell,2011,Number,1814
Montague,2000,Number,4589
Montague,2011,Number,4512
Montgomery,2000,Number,86732
Montgomery,2011,Number,128191
Moore,2000,Number,6753
Moore,2011,Number,6959
Morris,2000,Number,3289
Morris,2011,Number,2999
Motley,2000,Number,342
Motley,2011,Number,250
Nacogdoches,2000,Number,14208
Nacogdoches,2011,Number,15470
Navarro,2000,Number,12294
Navarro,2011,Number,12956
Newton,2000,Number,3945
Newton,2011,Number,3269
Nolan,2000,Number,4281
Nolan,2011,Number,3959
Nueces,2000,Number,89117
Nueces,2011,Number,88744
Ochiltree,2000,Number,2752
Ochiltree,2011,Number,3282
Oldham,2000,Number,765
Oldham,2011,Number,664
Orange,2000,Number,23183
Orange,2011,Number,20379
Palo Pinto,2000,Number,7022
Palo Pinto,2011,Number,6992
Panola,2000,Number,5741
Panola,2011,Number,5848
Parker,2000,Number,24356
Parker,2011,Number,30072
Parmer,2000,Number,3295
Parmer,2011,Number,3178
Pecos,2000,Number,4649
Pecos,2011,Number,3804
Polk,2000,Number,9435
Polk,2011,Number,9536
Potter,2000,Number,31799
Potter,2011,Number,33936
Presidio,2000,Number,2389
Presidio,2011,Number,2240
Rains,2000,Number,2171
Rains,2011,Number,2339
Randall,2000,Number,27212
Randall,2011,Number,30910
Reagan,2000,Number,1137
Reagan,2011,Number,998
Real,2000,Number,714
Real,2011,Number,640
Red River,2000,Number,3414
Red River,2011,Number,2715
Reeves,2000,Number,3923
Reeves,2011,Number,3097
Refugio,2000,Number,2044
Refugio,2011,Number,1737
Roberts,2000,Number,222
Roberts,2011,Number,238
Robertson,2000,Number,4515
Robertson,2011,Number,4220
Rockwall,2000,Number,12953
Rockwall,2011,Number,23943
Runnels,2000,Number,3097
Runnels,2011,Number,2623
Rusk,2000,Number,11791
Rusk,2011,Number,12380
Sabine,2000,Number,2211
Sabine,2011,Number,2071
San Augustine,2000,Number,2124
San Augustine,2011,Number,1838
San Jacinto,2000,Number,5599
San Jacinto,2011,Number,6270
San Patricio,2000,Number,20878
San Patricio,2011,Number,18111
San Saba,2000,Number,1726
San Saba,2011,Number,1263
Schleicher,2000,Number,820
Schleicher,2011,Number,1089
Scurry,2000,Number,4116
Scurry,2011,Number,4246
Shackelford,2000,Number,881
Shackelford,2011,Number,810
Shelby,2000,Number,6706
Shelby,2011,Number,6731
Sherman,2000,Number,1000
Sherman,2011,Number,888
Smith,2000,Number,46498
Smith,2011,Number,54503
Somervell,2000,Number,1935
Somervell,2011,Number,2177
Starr,2000,Number,20042
Starr,2011,Number,20654
Stephens,2000,Number,2361
Stephens,2011,Number,2260
Sterling,2000,Number,400
Sterling,2011,Number,274
Stonewall,2000,Number,386
Stonewall,2011,Number,326
Sutton,2000,Number,1173
Sutton,2011,Number,1100
Swisher,2000,Number,2338
Swisher,2011,Number,2044
Tarrant,2000,Number,406472
Tarrant,2011,Number,514770
Taylor,2000,Number,33660
Taylor,2011,Number,32502
Terrell,2000,Number,287
Terrell,2011,Number,210
Terry,2000,Number,3618
Terry,2011,Number,3304
Texas,2000,Number,5886759
Texas,2011,Number,6952177
Throckmorton,2000,Number,466
Throckmorton,2011,Number,345
Titus,2000,Number,8518
Titus,2011,Number,9877
Tom Green,2000,Number,27131
Tom Green,2011,Number,26383
Travis,2000,Number,192944
Travis,2011,Number,252478
Trinity,2000,Number,3154
Trinity,2011,Number,3001
Tyler,2000,Number,4837
Tyler,2011,Number,4286
Upshur,2000,Number,9520
Upshur,2011,Number,9734
Upton,2000,Number,998
Upton,2011,Number,915
Uvalde,2000,Number,8131
Uvalde,2011,Number,7543
Val Verde,2000,Number,14382
Val Verde,2011,Number,14629
Van Zandt,2000,Number,12299
Van Zandt,2011,Number,12509
Victoria,2000,Number,24502
Victoria,2011,Number,23109
Walker,2000,Number,11116
Walker,2011,Number,11329
Waller,2000,Number,8386
Waller,2011,Number,10772
Ward,2000,Number,3336
Ward,2011,Number,2914
Washington,2000,Number,7505
Washington,2011,Number,7447
Webb,2000,Number,69862
Webb,2011,Number,90022
Wharton,2000,Number,11837
Wharton,2011,Number,10947
Wheeler,2000,Number,1315
Wheeler,2011,Number,1359
Wichita,2000,Number,33120
Wichita,2011,Number,30813
Wilbarger,2000,Number,4094
Wilbarger,2011,Number,3375
Willacy,2000,Number,6352
Willacy,2011,Number,5821
Williamson,2000,Number,74902
Williamson,2011,Number,125229
Wilson,2000,Number,9452
Wilson,2011,Number,11448
Winkler,2000,Number,2140
Winkler,2011,Number,2073
Wise,2000,Number,13803
Wise,2011,Number,15493
Wood,2000,Number,8027
Wood,2011,Number,8505
Yoakum,2000,Number,2350
Yoakum,2011,Number,2463
Young,2000,Number,4485
Young,2011,Number,4451
Zapata,2000,Number,4025
Zapata,2011,Number,4831
Zavala,2000,Number,3956
Zavala,2011,Number,3621
